# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-29 15:55:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei province <br>(includes Wuhan)|66,337|2,727|7,370 serious|http://www.nhc.gov.cn/yjb/s7860/202002/4ef8b5221b4d4740bda3145ac37e68ed.shtml
Guangdong|1,349|7|18 serious, 20 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2911532.html
Henan|1,272|21|7 serious, 6 critical|https://m.weibo.cn/detail/4477218811888404
Zhejiang|1,205|1|10 serious, 9 critical|https://www.zjwjw.gov.cn/art/2020/2/29/art_1202101_42042551.html
Hunan|1,018|4|19 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200229_11194823.html
Beijing|411|8||http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200229_1672922.html
Shanghai|337|3|10 serious|http://wsjkw.sh.gov.cn/xwfb/20200229/3d6b4e2655d549d2947888d417814339.html
Other regions|7,322|64||http://www.nhc.gov.cn/yjb/s7860/202002/4ef8b5221b4d4740bda3145ac37e68ed.shtml
CHINA TOTAL|79,251|2,835|7,664 serious, 39,002 recovered, 1,418 suspected|
South Korea|3,150|17|10 critical, 24 recovered|https://www.yna.co.kr/view/AKR20200229044600053
Italy|1,128|29|105 serious, 46 recovered |https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_aggiornamento_ora_per_ora-249241616/
Diamond Princess|705|6|36 serious, 10 recovered|https://www3.nhk.or.jp/news/html/20200228/k10012307111000.html
Iran|593|43|123 recovered|https://twitter.com/FarsNews_Agency/status/1233693331932229632
Japan|241*|5|20 serious, 32 recovered|https://news.tv-asahi.co.jp/news_society/articles/000177630.html
Singapore|102|0|7 critical, 72 recovered|https://www.moh.gov.sg/news-highlights/details/three-more-cases-discharged-four-new-cases-of-covid-19-infection-confirmed
Hong Kong|93|2|4 critical, 2 serious, 18 recovered|https://news.rthk.hk/rthk/ch/component/k2/1510983-20200226.htm
Germany|79|0|2 critical, 16 recovered|https://www.staedteregion-aachen.de/de/navigation/aemter/oeffentlichkeitsarbeit-s-13/aktuelles/pressemitteilungen/aktuelle-pressemitteilungen/coronavirus/
United States|68|1|1 serious, 7 recovered|https://twitter.com/BNODesk/status/1233815268947828736
France|100|2|8 serious, 12 recovered|https://www.bfmtv.com/sante/sante-publique/en-direct-coronavirus-pres-de-600-supplementaires-et-16-morts-en-coree-du-sud/
Spain|45|0|1 serious, 2 recovered|https://elpais.com/sociedad/2020/02/28/actualidad/1582875225_093333.html
Kuwait|45|0||https://twitter.com/KUWAIT_MOH/status/1232670985272340480
Thailand|42|0|2 critical, 28 recovered|https://pr.moph.go.th/?url=pr/detail/2/04/139288/
Taiwan|39|1|5 recovered|https://www.cdc.gov.tw/Bulletin/Detail/mbmNaswS86akZ2X7Vt_-Aw?typeid=9
