# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-24 06:55:53 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|67800|3153||
Hong Kong|356|4||
Taiwan|195|2||
Beijing|537|8|北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。|
Guangdong|1415|8|深圳：确诊病例含19例境外输入病例；广州：确诊病例含22例境外输入病例；中山：确诊病例含2例境外输入病例；东莞：确诊病例含1例境外输入病例；佛山：确诊病例含3例境外输入病例；梅州：确诊病例含1例境外输入病例；肇庆：确诊病例含1例境外输入病例；珠海：确诊病例含2例境外输入病例；揭阳：确诊病例含1例境外输入病例；湛江：确诊病例含2例境外输入病例。|
Shanghai|404|4|因未公布分区死亡和治愈，仅展示累计确诊和现存确诊|
Gansu|136|2||
Fujian|313|1||
Zhejiang|1238|1|2月10日通报核减的12例在浙江省治愈的外省病例，根据国家最新要求重新纳入累计病例。|
Macau|24|0|确诊病例中含2例境外输入病例|
Shandong|768|7||
Shaanxi|248|3||
Heilongjiang|484|13||
Tianjin|141|3||
Sichuan|543|3|成都市包含境外输入病例 4例|
Hebei|319|6||
Henan|1274|22||
Jiangsu|633|0||
Guangxi|254|2||
Yunnan|176|2||
Jiangxi|936|1||
Chongqing|577|6||
Hainan|168|6||
Liaoning|127|2||
Hunan|1018|4||
Anhui|990|6||
Guizhou|146|2|3 月 17 日贵阳市新增 1 例境外输入无症状感染者|
Shanxi|133|0||
Jilin|93|1||
Xinjiang|76|3||
Ningxia|75|0||
Inner Mongolia|75|1||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|81691|3276||
